"number","name","earnings","gold","silver","bronze","s-tier"
1734,"Outlandisch","$1,688",0,2,0,0
1735,"Thanatos","$1,686",1,0,0,0
1736,"Lucid","$1,686",1,0,0,0
1737,"Rahel","$1,686",1,0,0,0
1738,"Siler","$1,679",0,0,0,0
1739,"Lastwolf","$1,671",1,1,1,0
1740,"bit1","$1,664",0,0,0,0
1741,"Arin","$1,664",0,0,0,0
1742,"Xypherz","$1,663",0,0,0,0
1743,"Air","$1,651",1,1,0,0
1744,"Dinoricar","$1,635",1,1,0,0
1745,"Slayer","$1,632",5,3,0,0
1746,"Mayhem","$1,626",0,1,0,0
1747,"Manaty","$1,613",1,0,0,0
1748,"euna","$1,601",2,0,2,0
1749,"Johnsun","$1,600",0,0,0,0
1750,"OTTO","$1,600",0,1,0,0
1751,"Sheep","$1,600",0,0,0,0
1752,"Horus","$1,600",3,1,0,0
1753,"jinjo","$1,592",0,4,1,0
1754,"Joekerism","$1,588",0,1,4,0
1755,"Kanna","$1,583",1,1,0,0
1756,"Khynm","$1,582",1,1,1,0
1757,"Marfz","$1,579",0,1,0,0
1758,"Lynkez","$1,576",0,1,0,0
1759,"Looca","$1,566",1,1,0,0
1760,"GGul","$1,564",2,1,0,0
1761,"Flipper","$1,557",0,1,1,0
1762,"KemKen","$1,557",1,0,0,0
1763,"Bung","$1,555",1,0,1,0
1764,"Wayward","$1,550",1,0,0,0
1765,"Unravel","$1,550",0,0,0,0
1766,"Xiao17","$1,550",0,0,0,0
1767,"1xn","$1,550",0,0,0,0
1768,"GYX","$1,550",0,0,0,0
1769,"Artum","$1,549",0,1,0,0
1770,"Yazmat","$1,549",0,1,0,0
1771,"Croc","$1,540",0,1,2,0
1772,"Nomi","$1,538",1,2,0,0
1773,"LongB","$1,526",1,0,0,0
1774,"Bardito","$1,516",2,0,1,0
1775,"Adryh","$1,514",1,0,0,0
1776,"Glory","$1,511",0,0,0,0
1777,"TheTess","$1,501",0,1,0,0
1778,"Gastruks","$1,500",2,1,0,0
1779,"Zeypher","$1,500",0,6,1,0
1780,"Skyyart","$1,500",0,0,1,0
1781,"Mke","$1,498",1,1,0,0
1782,"Silas","$1,494",1,1,2,0
1783,"Juzinho","$1,492",1,0,0,1
1784,"Warszi","$1,491",0,1,1,0
1785,"Pak","$1,482",0,3,0,0
1786,"JackPoT","$1,471",1,0,0,0
1787,"irma","$1,465",0,1,0,0
1788,"View","$1,465",0,0,1,0
1789,"Mingjing","$1,465",0,0,0,0
1789,"CyraXx","$1,465",0,0,0,0
1791,"New","$1,465",0,1,0,0
1792,"Dany","$1,463",1,2,0,0
1793,"Appen","$1,461",1,3,1,0
1794,"Dawidsonek","$1,449",0,0,0,0
1795,"Soren","$1,443",0,1,0,0
1796,"Paladin","$1,441",0,0,0,0
1797,"Nazgul","$1,438",0,1,0,0
1798,"DahVys","$1,437",1,0,0,0
1799,"Meaning","$1,435",2,2,0,0
1800,"Igloo","$1,434",0,1,0,0
1801,"Librid","$1,431",2,0,0,0
1802,"Rawbin","$1,431",3,1,1,0
1803,"Rein","$1,419",0,0,0,0
1804,"Backlund","$1,418",1,0,0,0
1805,"Teeen","$1,415",0,0,1,0
1806,"WildPanda","$1,415",0,2,0,0
1807,"Octomalus","$1,413",1,1,0,0
1808,"Dinka","$1,410",1,0,1,0
1809,"ZombieKungen","$1,410",1,0,0,0
1810,"Paladin","$1,408",0,0,1,0
1811,"Lesmart","$1,400",2,0,0,0
1812,"RBM","$1,400",0,1,1,0
1813,"Barrage","$1,400",2,1,1,0
1814,"iWa","$1,398",1,1,0,0
1815,"Chemera","$1,398",1,0,1,0
1816,"WooFe","$1,396",0,2,1,0
1817,"flare","$1,379",1,0,1,0
1818,"Soboro","$1,377",1,1,0,0
1819,"Sanity","$1,372",1,1,2,0
1820,"Aesenar","$1,371",0,1,0,0
1821,"Findus","$1,363",0,1,1,0
1822,"Dred","$1,362",1,1,3,0
1823,"Jaunatis","$1,355",1,1,0,0
1824,"Maynter","$1,347",0,0,0,0
1825,"Balkane","$1,347",0,0,0,0
1826,"Blue45ty","$1,346",0,1,0,0
1827,"Snuggli","$1,339",0,0,1,0
1828,"KroMAX","$1,337",0,0,0,0
1829,"Shaoran","$1,320",0,0,0,0
1830,"Numandiel","$1,313",1,1,3,0
1831,"Chibs","$1,306",0,3,6,0
1832,"Warden","$1,301",0,0,1,0
1833,"HaRleLuYaR","$1,300",0,0,0,0
1834,"Thinkcard","$1,300",0,1,0,0
1835,"Do1u1u","$1,300",0,0,0,0
1836,"Monarca","$1,298",2,0,0,0
1837,"Brona","$1,298",2,0,0,0
1838,"Punisher","$1,297",0,0,0,0
1839,"HHNeverLucky","$1,296",2,5,0,0
1840,"KRP","$1,288",0,1,1,0
1841,"zhii","$1,283",1,1,0,0
1842,"Tibor","$1,272",2,0,0,0
1843,"Lotus","$1,266",1,1,0,0
1844,"Emi","$1,266",0,1,0,0
1845,"Speedy","$1,266",0,2,0,0
1846,"Wylenz","$1,257",0,6,1,0
1847,"Donbray","$1,250",1,0,0,0
1848,"Kennedys","$1,248",0,0,1,0
1849,"Eign","$1,246",2,0,0,0
1850,"Peach","$1,246",2,0,0,0
1851,"Delight","$1,240",2,0,0,0
1852,"Wolf","$1,235",1,2,0,0
1853,"Kabamarru","$1,235",0,4,0,0
1854,"Fisher","$1,233",2,1,0,0
1855,"Syrpy","$1,224",0,1,2,0
1856,"Asta","$1,223",2,1,0,0
1857,"noname","$1,222",2,1,0,0
1858,"Bobo","$1,218",0,0,1,0
1859,"Vizility","$1,212",0,1,0,0
1860,"Xyraz","$1,202",1,1,1,0
1860,"Rx Dye","$1,201",0,1,1,0
1862,"EquivocaL","$1,200",0,0,0,0
1863,"BarneyD","$1,200",0,0,1,0
1864,"Lunar","$1,183",0,1,2,0
1865,"Busio","$1,180",0,0,1,0
1866,"Carbono","$1,180",0,0,1,0
1867,"Vaynedeta","$1,167",0,1,1,0
1868,"Young","$1,160",0,1,3,0
1869,"Jun","$1,160",1,1,0,0
1870,"Shark","$1,155",0,0,0,0
1871,"Slugger","$1,155",0,0,0,0
1872,"H4cker","$1,154",0,0,1,0
1873,"Kind","$1,150",1,0,1,0
1874,"Stratospanda","$1,144",1,1,0,0
1875,"Lian","$1,141",0,1,2,0
1876,"Philip","$1,140",0,0,0,0
1877,"KonDziSan","$1,139",0,1,1,0
1878,"Meleks","$1,128",0,0,1,0
1879,"KOOLBERG","$1,122",0,2,1,0
1880,"Dummy","$1,121",0,0,2,0
1881,"FatShield","$1,121",0,0,2,0
1882,"Saitam","$1,120",0,0,2,0
1883,"ToongE","$1,117",1,2,0,0
1884,"Garp","$1,116",1,2,1,0
1885,"Sirinox","$1,113",1,2,2,0
1886,"PatkicaA","$1,111",0,1,0,0
1887,"Boal","$1,108",1,0,0,0
1888,"Spontexx","$1,106",1,0,0,0
1889,"Endz","$1,105",4,1,2,0
1890,"Eden Fox","$1,104",0,2,1,0
1891,"Snaker","$1,101",0,2,0,0
1892,"Zappy","$1,100",0,0,1,0
1893,"Woodboy","$1,099",0,0,1,0
1894,"Reclamation","$1,097",1,0,0,0
1895,"Karakal Jr","$1,092",0,0,1,0
1896,"Champen","$1,084",1,0,0,0
1897,"Fax","$1,082",0,1,0,0
1898,"Comet","$1,079",0,0,0,0
1899,"Hoglet","$1,076",0,1,2,0
1900,"Unforgiven","$1,076",0,0,1,0
1901,"Lingwi","$1,071",0,1,0,0
1902,"Diplex","$1,066",1,0,3,0
1903,"Prelude","$1,064",0,0,1,0
1904,"Symphony","$1,063",0,0,1,0
1905,"Dedrayon","$1,060",0,0,0,0
1906,"Blizz","$1,059",1,0,3,0
1907,"Malice","$1,056",0,0,0,0
1908,"Kaylem","$1,056",0,1,0,0
1909,"bAZZILISKS","$1,054",1,2,0,0
1910,"Nafkelah","$1,049",0,0,1,0
1911,"Meech","$1,038",0,1,1,0
1912,"Glowing","$1,022",1,1,0,0
1913,"Pat","$1,018",2,0,1,0
1914,"Juves","$1,014",0,0,2,0
1915,"Last","$1,010",0,0,0,0
1916,"Charca","$1,002",1,1,0,0
1917,"Serin","$1,000",2,1,0,0
1918,"Zothve","$1,000",0,0,1,0
1919,"Shok","$1,000",0,1,2,0
1920,"TOPKING","$1,000",0,0,0,0
1921,"Ferret","$1,000",2,1,0,0
1922,"Midbeast","$1,000",0,1,0,0
1923,"Dragku","$1,000",0,0,2,0
1924,"Gunkrab","$1,000",1,0,1,0
1925,"StarScreen","$1,000",3,2,0,0
1926,"SkyTec","$1,000",0,0,0,0
1927,"Lived","$1,000",0,0,1,0
1928,"Farfetch","$1,000",2,0,0,0
1929,"Swathe","$1,000",0,0,1,0
1930,"Tsiperakos","$998",0,1,0,0
1931,"Blacky","$996",1,1,0,0
1932,"Xeonerr","$995",0,0,0,0
1933,"Klydex","$988",1,2,0,0
1934,"apaMEN","$984",1,4,5,1
1935,"Creon","$983",0,1,2,0
1936,"Marlon","$980",0,1,0,0
1937,"DRIFTER","$967",1,0,0,0
1938,"Sangchu","$965",1,0,0,0
1939,"Pout","$965",1,0,0,0
1940,"darkchri","$962",2,1,0,0
1941,"Speedo","$960",1,1,1,0
1942,"Jujutw0","$958",0,0,1,0
1943,"Helaz","$958",0,0,1,0
1944,"Jackspektra","$957",0,0,0,0
1945,"Emiw","$952",1,0,2,0
1946,"Jaylink","$949",1,0,1,0
1947,"Cao","$940",0,0,1,0
1948,"I am Kees","$934",2,1,1,0
1949,"Homi","$933",0,3,0,0
1950,"Psclly","$930",0,1,2,0
1951,"Ordno","$930",0,3,2,0
1952,"Roamer","$926",1,2,0,0
1953,"StormFury","$925",0,0,0,0
1954,"Sajator","$918",2,0,0,0
1955,"Sacrifice","$918",2,0,0,0
1956,"Beenie","$914",0,1,0,0
1957,"Lospa","$913",2,0,0,0
1958,"Winner","$913",2,0,0,0
1959,"Quid","$913",2,0,0,0
1960,"Jaqen","$913",0,0,0,0
1961,"Taeyoon","$910",1,0,0,0
1962,"Netuno","$909",1,0,0,0
1963,"Jenxas","$907",0,0,0,0
1964,"Naxxy","$907",0,3,1,0
1965,"Catjug","$900",0,0,0,0
1966,"Wen","$900",0,0,0,0
1967,"Hyami","$900",0,0,0,0
1968,"Instinct","$900",0,0,1,0
1969,"Patience","$900",0,0,0,0
1970,"Toland","$899",1,0,1,0
1971,"Howling","$899",1,0,1,0
1972,"Ice","$899",1,0,1,0
1973,"Feisty","$896",0,1,1,0
1974,"Bounty","$891",2,0,0,0
1975,"Guertas","$886",1,0,3,0
1976,"StarSpring","$885",0,1,0,0
1977,"Enty","$884",1,3,6,1
1978,"Winsome","$883",1,1,0,0
1979,"Velja","$876",0,0,0,0
1980,"Cacon","$874",0,0,0,0
1981,"Aomine","$874",0,0,0,0
1982,"Raizins","$869",0,1,1,0
1983,"Lewus","$866",0,0,0,0
1984,"Feedarias","$864",1,2,0,0
1985,"Xicor","$860",1,0,0,0
1986,"Raven","$854",0,0,2,0
1987,"zezpez","$851",0,0,0,0
1988,"shanji","$851",0,1,0,0
1989,"Rhino","$850",0,1,1,0
1990,"Raheen","$850",0,1,1,0
1991,"HamBak","$849",1,1,0,0
1992,"KongMing","$849",1,2,0,0
1993,"Helper","$849",0,0,0,0
1994,"Raptor","$843",0,1,0,0
1995,"Loopy","$843",0,1,0,0
1996,"Gamin","$843",0,1,0,0
1997,"Godux","$838",1,1,0,0
1998,"Deluxe","$837",0,1,0,0
1999,"Fl4mer","$834",3,0,1,0
2000,"Blackrog","$822",1,2,1,0
2001,"Dimitry","$820",0,0,0,0
2001,"Gralou","$820",0,2,0,0
2003,"Vaunted","$814",0,0,0,0
2004,"Vex","$808",0,1,1,0
2005,"A M U S E 4","$804",1,1,0,0
2005,"Meron","$804",2,3,0,0
2007,"SimSin","$801",3,0,0,0
2007,"Metalx","$801",0,0,1,0
2009,"Kiy1n9","$800",0,0,0,0
2009,"Rex","$800",0,0,0,0
2009,"Jukes","$800",0,0,0,0
2009,"Shera","$800",0,0,0,0
2009,"Yusui","$800",0,0,0,0
2009,"Takeover","$800",0,1,1,0
2009,"Gariaru","$800",0,1,2,0
2016,"Harpoon","$795",0,0,0,0
2016,"Piloto","$795",0,0,0,0
2018,"KuKu","$788",0,0,0,0
2019,"Gotzy","$781",0,1,4,0
2020,"Tristesse","$778",0,0,0,0
2021,"Veignorem","$777",1,1,0,0
2022,"Khomzar","$776",0,0,0,0
2022,"Valhalla","$776",0,0,0,0
2022,"Vata","$776",0,0,0,0
2025,"Jakamaka","$772",0,0,0,0
2026,"Riron","$766",0,0,1,0
2027,"Hioss","$763",0,1,0,0
2028,"Peppe","$762",0,1,2,0
2029,"BB Muffin","$755",1,0,0,0
2030,"ATRemains","$754",0,1,1,0
2031,"Vrow","$750",0,2,1,0
2032,"ItzRenifer","$748",0,0,0,0
2033,"Kinn","$743",0,1,0,0
2033,"WaenA","$743",1,2,1,0
2033,"Calmsky","$743",0,1,2,0
2033,"Dragoon","$743",1,0,1,0
2037,"yOFT","$739",0,0,2,0
2038,"Bendix","$736",0,1,3,0
2039,"Seal","$726",0,0,2,0
2040,"FlashInTheNight","$721",0,0,0,0
2041,"Panda","$720",1,0,0,0
2042,"Governor","$717",0,1,1,0
2043,"Sloth","$713",2,0,0,0
2044,"Viketox","$710",0,0,0,0
2045,"Yike","$706",2,0,1,0
2046,"Sybr","$705",0,2,0,0
2047,"Sly","$702",0,1,0,0
2047,"Mish","$702",0,1,0,0
2047,"Chalice7","$702",0,1,0,0
2047,"Pain","$702",0,1,0,0
2047,"Meng","$702",0,1,0,0
2052,"Zerito","$700",0,0,0,0
2052,"Ceo","$700",0,0,0,0
2052,"Shu Hari","$700",0,0,0,0
2055,"mag1cian","$696",1,1,0,0
2055,"Conse","$696",1,2,1,0
2055,"HmlssMaster","$696",1,1,0,0
2058,"Adiss","$691",1,1,0,0
2058,"BeBopBulli","$691",0,1,1,0
2060,"Romuka","$686",0,0,0,0
2060,"ORION","$686",0,0,0,0
2060,"Vakulich","$686",0,0,0,0
2060,"Rillyaviel","$686",0,0,0,0
2060,"Imperial","$686",0,0,0,0
2060,"Get Lost","$686",0,0,0,0
2060,"Madrid1st","$686",0,0,0,0
2060,"Kenal","$686",0,0,0,0
2068,"ChangeName","$682",0,1,0,0
2069,"DNA","$680",0,0,1,0
2069,"Nottingham","$680",1,2,0,0
2071,"Jakobobbi","$674",0,1,1,0
2071,"Soul","$674",0,0,0,0
2073,"6ax","$661",0,0,0,0
2073,"Sericus","$661",0,0,0,0
2073,"PekiDo","$661",0,0,0,0
2073,"FeeNiixZ","$661",0,1,0,0
2077,"Lagiah","$658",0,2,0,0
2078,"existence","$650",1,0,0,0
2078,"Korpse","$650",1,0,0,0
2080,"Gricek","$649",0,0,0,0
2080,"Gaboesh","$649",1,0,0,0
2082,"Facen","$645",0,2,0,0
2083,"Smash","$642",1,1,0,0
2083,"Dal","$642",1,1,0,0
2083,"Forest","$642",1,1,0,0
2083,"Minous","$642",1,1,0,0
2087,"Eragon","$641",0,1,0,0
2088,"Rhobalas","$627",2,0,0,0
2089,"MjrDee","$626",0,0,1,0
2089,"Welcom","$626",1,0,0,0
2091,"Adrian","$619",1,1,0,0
2092,"vvarion","$618",0,0,0,0
2093,"Enel","$616",0,0,0,0
2094,"Gaaloul","$610",0,1,0,0
2095,"Yur4ik","$607",2,0,0,0
2095,"Shin","$607",2,0,0,0
2095,"Tezaret","$607",2,1,0,0
2098,"TakeSet","$603",0,0,1,0
2099,"Rubi0o","$601",0,1,0,0
2100,"WeiLun","$600",0,0,0,0
2100,"YourRiver","$600",0,0,0,0
2100,"Shade","$600",0,4,0,0
2100,"Bush","$600",0,0,0,0
2100,"chen9","$600",0,1,0,0
2100,"Kusuo","$600",0,0,0,0
2106,"Piwek","$599",0,1,0,0
2106,"Laatch","$599",0,0,0,0
2108,"Mousty","$596",0,0,0,0
2108,"Bankai","$596",0,0,0,0
2110,"Onyoz","$579",1,0,0,0
2111,"Ardes","$570",0,1,0,0
2112,"Straight","$563",0,1,0,0
2113,"OMON","$561",0,0,2,0
2113,"Infoneral","$561",0,0,2,0
2113,"Joep","$561",0,0,2,0
2116,"Crazycaps","$558",0,0,0,0
2117,"Betao","$552",0,1,0,0
2117,"Goot","$552",0,1,0,0
2117,"Kick","$552",0,1,0,0
2120,"Hyper","$550",0,0,2,0
2121,"Vayu","$549",1,0,0,0
2122,"Peter","$546",0,1,0,0
2123,"Heroic","$545",4,0,1,0
2124,"Crowno","$541",2,1,0,0
2125,"Barcode","$537",0,0,0,0
2126,"Muru","$535",1,0,0,0
2127,"Dasher","$533",0,1,0,0
2127,"OdduGi","$533",0,0,0,0
2129,"Ruf","$530",0,1,0,0
2129,"BetongJocke","$530",0,0,0,0
2131,"DarkWings","$528",0,1,1,0
2132,"Safir","$520",0,0,0,0
2133,"Spectral","$518",1,1,0,0
2134,"Toison","$513",0,1,1,0
2135,"Photon","$511",2,0,0,0
2135,"Focus","$511",1,0,0,0
2137,"Wixxi","$510",1,1,0,0
2138,"Bartiono","$508",0,0,0,0
2139,"Harp","$505",0,0,0,0
2139,"Jool","$505",0,0,0,0
2139,"Bini","$505",0,0,0,0
2142,"Betsy","$500",0,0,0,0
2142,"ProDelta","$500",0,2,0,0
2142,"BeNw","$500",0,0,0,0
2145,"EMENES","$496",2,0,0,0
2145,"Drop","$496",0,0,0,0
2147,"Scuro","$489",0,0,0,0
2148,"Jonsonny","$488",0,2,2,0
2148,"Dehaste","$488",2,3,0,0
2150,"Wao","$481",1,0,0,0
2151,"Zaphyr","$480",0,1,0,0
2152,"Lunddorf","$477",0,2,0,0
2153,"Harumi","$474",0,0,0,0
2154,"Linkkey","$472",0,2,0,0
2155,"ThintoN","$471",0,0,3,0
2156,"Galben","$468",0,0,0,0
2157,"Cacah","$466",1,0,0,0
2158,"Jean Mago","$463",1,1,0,0
2159,"PFI","$462",0,1,1,0
2160,"CptShrimps","$460",0,1,3,0
2161,"Teogen","$454",1,0,0,0
2162,"POILK","$453",0,1,0,0
2162,"Denzel","$453",0,1,0,0
2164,"Fizzi","$450",0,0,0,0
2165,"Dipzey","$449",0,2,0,0
2166,"Rowelly","$448",3,2,1,0
2166,"SunSieu","$448",0,0,0,0
2166,"Kiao","$448",3,2,1,0
2169,"Mirmoooo","$437",0,0,1,0
2170,"Julbu","$436",1,0,0,0
2171,"Elusion","$434",0,0,0,0
2171,"Reversed","$434",0,0,0,0
2173,"MeLikePanda","$428",0,1,2,0
2174,"Nasser","$422",0,1,1,0
2175,"Seonbi","$421",0,0,0,0
2175,"LukaLux","$421",0,0,0,0
2177,"Mido","$419",0,1,0,0
2177,"griff","$419",0,1,0,0
2177,"AcceZ","$419",0,1,0,0
2180,"Motroco","$412",0,0,0,0
2181,"Mafab","$411",0,1,0,0
2181,"AlphaCloud","$411",0,1,0,0
2181,"Stanniez","$411",0,1,0,0
2181,"Witsyy","$411",0,1,0,0
2185,"LagsAlot","$401",0,0,0,0
2186,"Cresho","$400",0,0,0,0
2186,"Mirai","$400",2,0,2,0
2186,"KASAPINA","$400",0,1,0,0
2186,"Zihan","$400",0,0,0,0
2186,"Maplestreet","$400",0,0,0,0
2186,"Xeno","$400",0,0,0,0
2186,"TeamLuke","$400",0,0,0,0
2186,"Phantoml0rd","$400",0,0,0,0
2186,"Dodo","$400",0,0,0,0
2195,"Lakinther","$399",1,0,0,0
2196,"Eyhro","$398",0,0,2,0
2197,"Jhinsane","$395",0,0,0,0
2198,"Noma","$392",1,3,2,0
2199,"Seb","$389",0,0,0,0
2200,"alleycat","$387",0,0,1,0
2200,"Recap","$387",0,1,1,0
2200,"Haretti","$387",1,1,2,1
2203,"Rylle","$383",0,0,1,0
2203,"RotteBengi","$383",0,0,1,0
2203,"Mixsi","$383",0,0,1,0
2203,"Carlsen","$383",0,0,1,0
2207,"Cathrine","$369",1,1,0,0
2208,"Prove","$364",0,0,1,0
2209,"Taara","$363",0,0,0,0
2210,"YamatoCannon","$360",0,0,0,0
2211,"Decky","$357",0,1,0,0
2211,"Blaise","$357",0,0,0,0
2211,"Piero","$357",0,1,0,0
2214,"Kamil","$351",0,2,0,0
2214,"AMOUR FAYA","$351",0,0,0,0
2216,"Neephesto","$349",0,0,0,0
2217,"Athyz","$340",1,0,0,0
2218,"Poppy","$339",0,0,0,0
2219,"Hachiman","$333",0,0,0,0
2220,"Redentor","$327",0,0,0,0
2221,"Luana","$325",0,3,0,0
2222,"Naruterador","$324",0,1,0,0
2223,"DizL","$317",2,1,0,0
2224,"Rebengga","$315",1,1,0,0
2225,"cowTard","$314",0,1,0,0
2226,"Sky","$283",0,2,0,0
2227,"Zeussak","$276",0,1,2,0
2228,"Travanques","$275",0,1,3,0
2229,"Lazernik","$271",0,1,1,0
2230,"Hugato","$270",0,0,0,0
2231,"Haze","$269",0,1,0,0
2232,"Burry","$264",0,1,0,0
2232,"BaeKHo","$264",0,1,0,0
2232,"MapSSi","$264",0,1,0,0
2235,"Vitin","$260",0,0,0,0
2236,"FENZ1","$258",0,0,0,0
2236,"S1d","$258",0,1,0,0
2238,"Ksaez","$254",0,0,1,0
2239,"Dracxar","$251",0,1,0,0
2239,"Zzanggu","$251",0,1,0,0
2239,"Merit","$251",0,1,0,0
2242,"Belgianbeast","$250",0,0,0,0
2242,"Concept","$250",0,1,0,0
2242,"Sheepy","$250",0,0,0,0
2245,"Divider","$238",0,1,0,0
2246,"Teh","$236",0,0,0,0
2246,"Sufleks","$236",0,0,0,0
2246,"Evaan","$236",0,2,1,0
2249,"Silk","$234",0,0,0,0
2250,"Nyx","$233",0,0,1,0
2251,"KuMaMoTo","$232",0,0,0,0
2252,"Telas","$231",0,0,0,0
2252,"Nigelf","$231",0,0,0,0
2254,"Moo","$230",0,0,0,0
2255,"F4rg","$226",0,1,3,0
2256,"Azra","$222",1,0,0,0
2257,"MrFreezed","$221",0,0,0,0
2257,"Warizar","$221",0,0,0,0
2259,"Imbi","$206",0,0,0,0
2260,"Akabuff","$200",0,0,0,0
2261,"Powder","$187",0,1,0,0
2262,"cogcog","$184",0,2,0,0
2262,"Rainbrain","$184",0,1,0,0
2264,"Defflok","$183",0,0,1,0
2265,"SeTab","$179",0,0,0,0
2266,"theblindboy","$176",0,0,0,0
2267,"Poby","$173",0,1,0,0
2268,"Zerost","$168",1,2,1,0
2268,"Awaker","$168",0,1,1,0
2268,"Jinsh","$168",3,0,1,0
2271,"MGX","$162",0,0,1,0
2272,"HW4NG","$161",0,1,0,0
2273,"Eclipse","$160",0,0,0,0
2273,"Revenge","$160",0,1,0,0
2275,"Boukada","$150",0,0,1,0
2276,"Titeito","$149",0,0,0,0
2276,"Stankie","$149",0,0,0,0
2278,"Qitong","$140",0,1,0,0
2279,"Reedfoo","$139",0,0,1,0
2280,"Soulah","$137",0,0,0,0
2280,"Pocok","$137",0,0,3,0
2280,"Crit Hero","$137",0,0,0,0
2283,"sorahed","$135",0,0,0,0
2284,"breezyyy","$128",0,1,0,0
2285,"Ravenzin","$125",0,0,0,0
2285,"Cavalo","$125",0,0,0,0
2285,"Yupps","$125",0,0,0,0
2285,"Disamis","$125",0,0,0,0
2289,"Crocomux","$118",0,0,0,0
2289,"Praevius","$118",0,1,1,0
2291,"Nixerino","$116",0,0,0,0
2291,"Skain","$116",0,0,0,0
2293,"EliWood","$115",0,2,0,0
2294,"GG SIR","$114",1,0,1,0
2294,"BoffeN","$114",0,1,0,0
2296,"Lawi","$113",0,0,0,0
2296,"Isma","$113",0,1,1,0
2296,"Small","$113",0,0,0,0
2299,"Infinity","$112",1,0,0,0
2300,"Kortini","$109",0,0,0,0
2300,"Eric","$109",0,0,0,0
2302,"TESLA","$107",0,0,1,0
2303,"Exyu","$100",0,1,0,0
2304,"TsarCanya","$84",0,0,1,0
2305,"Guigs","$77",0,0,0,0
2305,"Ari","$77",0,0,0,0
2307,"Hanor","$74",0,0,0,0
2307,"Yatsu","$74",0,0,0,0
2309,"HongA","$71",0,0,1,0
2309,"Blessing","$71",0,0,1,0
2311,"sLiM5h4dY","$68",0,1,0,0
2312,"Afroboi","$65",0,0,1,0
2313,"Sketchdreams","$63",0,1,0,0
2313,"Faisal","$63",0,1,0,0
2315,"WildStars","$59",0,0,0,0
2315,"Kourosh","$59",0,0,0,0
2315,"Typical","$59",0,0,0,0
2318,"TheKat","$54",0,0,0,0
2318,"Saizo","$54",0,0,0,0
2320,"T1moha","$47",0,0,0,0
2321,"Unlimited","$46",0,0,0,0
2321,"Pjush","$46",1,0,0,0
2321,"Kio","$46",0,0,0,0
2321,"Mazurr","$46",0,0,0,0
2321,"Ravea","$46",1,0,0,0
2321,"Naelynn","$46",1,0,0,0
2327,"Shellkunchik","$42",0,0,0,0
2327,"Antik","$42",0,0,0,0
2329,"Follen","$41",0,0,0,0
2330,"VISAO","$39",0,0,0,0
2331,"Demonadc","$36",0,0,0,0
2332,"The Cemen","$23",0,0,0,0
